"sample_id"	"state.id"	"cell.type.id"	"..filter.."	"IGKJ1"	"IGKJ2"	"IGKJ3"	"IGKJ4"	"IGKJ5"	"IGLJ1"	"IGLJ2"	"IGLJ3"
"CVID-2-Bright"	"CVID"	"Bright"	"conv:MiXcr"	0.286877799366519	0.247360457918554	0.0889894330316751	0.248868753393668	0.0799396601809963	0.00361990914027154	0.0196078411764708	0.0247360457918555
"CVID-2-Naive"	"CVID"	"Naive"	"conv:MiXcr"	0.262820486538464	0.232905959615387	0.0974358876923086	0.210683739615387	0.0651709336538468	0.0136752123076925	0.0920940078846164	0.025213672692308
"CVID-4-Bright"	"CVID"	"Bright"	"conv:MiXcr"	0.309080856510966	0.210555304836708	0.0870883198015722	0.212346678503512	0.0806118150062019	0.013641999462588	0.048918280901199	0.0373432510541548
"CVID-4-Naive"	"CVID"	"Naive"	"conv:MiXcr"	0.300816471852173	0.203695725225615	0.0949720575418999	0.22561235388913	0.0868070390201982	0.00558659162011178	0.0588740809196395	0.0232058421143105
"CVID-5-Bright"	"CVID"	"Bright"	"conv:MiXcr"	0.172341644590352	0.164129365729225	0.0997481984311496	0.161805135862867	0.0966879624404457	0.0464458601626977	0.125469675618831	0.132674788204535
"CVID-5-Naive"	"CVID"	"Naive"	"conv:MiXcr"	0.136125823440989	0.135567787782508	0.0852050696044971	0.149518679244557	0.0853445785191174	0.0436314130475731	0.173828107617186	0.18913921099679
"CVID-6-Bright"	"CVID"	"Bright"	"conv:MiXcr"	0.171128690780545	0.162078917929866	0.0720839545814487	0.134489679864255	0.0562468520927608	0.0341880307692311	0.225427327884618	0.142848150622173
"CVID-6-Naive"	"CVID"	"Naive"	"conv:MiXcr"	0.134980975095059	0.131238104746912	0.0676093088284234	0.135159207016399	0.0524001848740507	0.0389139694926338	0.281071739953654	0.154764718363838
"CVID-7-Bright"	"CVID"	"Bright"	"conv:MiXcr"	0.124128065576947	0.167072846558534	0.0784519629086529	0.113580961832934	0.0451298383309533	0.0623581751239616	0.226615659328509	0.18043531265652
"CVID-7-Naive"	"CVID"	"Naive"	"conv:MiXcr"	0.150362790661113	0.160171980757861	0.0851921441279247	0.120800847903792	0.0477022258129541	0.0489115780166628	0.213383477721045	0.171324895525397
"CVID-8-Bright"	"CVID"	"Bright"	"conv:MiXcr"	0.162722486042804	0.0942483700380715	0.0575676452361387	0.146414225506741	0.0473814131032026	0.0513941712161777	0.265665165325647	0.173474619960901
