Sample	Status	Cell_state	Cell_type	locus	property	mean	scaled_property
CVID-2-Bright-IGK	CVID	CVID bright	Bright	IGK	charge	0.033272948	0.467553750536099
CVID-2-Naive-IGK	CVID	CVID naive	Naive	IGK	charge	0.024820298	-1.08527726877532
CVID-4-Bright-IGK	CVID	CVID bright	Bright	IGK	charge	0.02456089	-1.13293294942665
CVID-4-Naive-IGK	CVID	CVID naive	Naive	IGK	charge	0.032424886	0.311756813492773
CVID-5-Bright-IGK	CVID	CVID bright	Bright	IGK	charge	0.023655804	-1.29920572967243
CVID-5-Naive-IGK	CVID	CVID naive	Naive	IGK	charge	0.03254446	0.333723677884785
CVID-6-Bright-IGK	CVID	CVID bright	Bright	IGK	charge	0.030580971	-0.0269876523225172
CVID-6-Naive-IGK	CVID	CVID naive	Naive	IGK	charge	0.031139812	0.0756766765758771
CVID-7-Bright-IGK	CVID	CVID bright	Bright	IGK	charge	0.031821936	0.20098924792531
CVID-7-Naive-IGK	CVID	CVID naive	Naive	IGK	charge	0.029711636	-0.186692638826523
CVID-8-Bright-IGK	CVID	CVID bright	Bright	IGK	charge	0.0324471	0.315837733472067
CVID-8-Naive-IGK	CVID	CVID naive	Naive	IGK	charge	0.035183437	0.818528484052008
CVID-9-Bright-IGK	CVID	CVID bright	Bright	IGK	charge	0.041384734	1.95776485862836
CVID-9-Naive-IGK	CVID	CVID naive	Naive	IGK	charge	0.036795605	1.11469885414201
HD-1-Bright-IGK	Healthy	Healthy bright	Bright	IGK	charge	0.037631117	1.26819023857256
HD-1-Naive-IGK	Healthy	Healthy naive	Naive	IGK	charge	0.0303771	-0.0644406656068758
HD-3-Bright-IGK	Healthy	Healthy bright	Bright	IGK	charge	0.04060666	1.81482537308008
HD-3-Naive-IGK	Healthy	Healthy naive	Naive	IGK	charge	0.021591013	-1.67852718663505
HD-4-Bright-IGK	Healthy	Healthy bright	Bright	IGK	charge	0.03782739	1.30424742805199
HD-4-Naive-IGK	Healthy	Healthy naive	Naive	IGK	charge	0.02785381	-0.527992685709246
HD-5-Bright-IGK	Healthy	Healthy bright	Bright	IGK	charge	0.03998784	1.70114233978634
HD-5-Naive-IGK	Healthy	Healthy naive	Naive	IGK	charge	0.024687802	-1.10961802566631
Infected-2-Bright-IGK	Infected	Infected bright	Bright	IGK	charge	0.030324228	-0.0741537474987123
Infected-2-Naive-IGK	Infected	Infected naive	Naive	IGK	charge	0.02456392	-1.1323763100309
Infected-3-Bright-IGK	Infected	Infected bright	Bright	IGK	charge	0.036624167	1.08320408690467
Infected-3-Naive-IGK	Infected	Infected naive	Naive	IGK	charge	0.030577553	-0.0276155709544259
Infected-4-Bright-IGK	Infected	Infected bright	Bright	IGK	charge	0.034616936	0.714456941367651
Infected-4-Naive-IGK	Infected	Infected naive	Naive	IGK	charge	0.02997591	-0.138143028373292
Infected-5-Bright-IGK	Infected	Infected bright	Bright	IGK	charge	0.02928914	-0.264309113462879
Infected-5-Naive-IGK	Infected	Infected naive	Naive	IGK	charge	0.022058493	-1.59264672962953
CVID-2-Bright-IGL	CVID	CVID bright	Bright	IGL	charge	-0.009428551	1.32646957245752
CVID-2-Naive-IGL	CVID	CVID naive	Naive	IGL	charge	-0.02145216	0.461609163760847
CVID-4-Bright-IGL	CVID	CVID bright	Bright	IGL	charge	-0.015132388	0.916191527075373
