"Sample_id_1"	"Sample_id_2"	"F2"	"state"	"cell_type"	"locus"	"Cell_state"
"CVID-2-Bright-IGK"	"CVID-4-Bright-IGK"	0.349571182377259	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-2-Bright-IGK"	"CVID-5-Bright-IGK"	0.421360860348025	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-2-Bright-IGK"	"CVID-6-Bright-IGK"	0.382997881993921	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-2-Bright-IGK"	"CVID-7-Bright-IGK"	0.239498789763712	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-2-Bright-IGK"	"CVID-8-Bright-IGK"	0.295389806305556	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-2-Bright-IGK"	"CVID-9-Bright-IGK"	0.345005907459661	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-4-Bright-IGK"	"CVID-5-Bright-IGK"	0.424300484526712	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-4-Bright-IGK"	"CVID-6-Bright-IGK"	0.408201551351571	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-4-Bright-IGK"	"CVID-7-Bright-IGK"	0.184353752707808	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-4-Bright-IGK"	"CVID-8-Bright-IGK"	0.338073557521878	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-4-Bright-IGK"	"CVID-9-Bright-IGK"	0.315994993702676	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-5-Bright-IGK"	"CVID-6-Bright-IGK"	0.572346279836989	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-5-Bright-IGK"	"CVID-7-Bright-IGK"	0.401673741465165	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-5-Bright-IGK"	"CVID-8-Bright-IGK"	0.378046579807297	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-5-Bright-IGK"	"CVID-9-Bright-IGK"	0.468433236536861	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-6-Bright-IGK"	"CVID-7-Bright-IGK"	0.384694078978267	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-6-Bright-IGK"	"CVID-8-Bright-IGK"	0.384658385696053	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-6-Bright-IGK"	"CVID-9-Bright-IGK"	0.453885733783799	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-7-Bright-IGK"	"CVID-8-Bright-IGK"	0.302781638896033	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-7-Bright-IGK"	"CVID-9-Bright-IGK"	0.407415336287213	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-8-Bright-IGK"	"CVID-9-Bright-IGK"	0.345101440072848	"CVID"	"Bright"	"IGK"	"CVID bright"
"CVID-2-Bright-IGL"	"CVID-4-Bright-IGL"	0.163445119097753	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-2-Bright-IGL"	"CVID-5-Bright-IGL"	0.109980853231947	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-2-Bright-IGL"	"CVID-6-Bright-IGL"	0.125329654078127	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-2-Bright-IGL"	"CVID-7-Bright-IGL"	0.0666367797426079	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-2-Bright-IGL"	"CVID-8-Bright-IGL"	0.0897596533199853	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-2-Bright-IGL"	"CVID-9-Bright-IGL"	0.150086876399039	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-4-Bright-IGL"	"CVID-5-Bright-IGL"	0.31403354874215	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-4-Bright-IGL"	"CVID-6-Bright-IGL"	0.250628860412905	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-4-Bright-IGL"	"CVID-7-Bright-IGL"	0.134299765962584	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-4-Bright-IGL"	"CVID-8-Bright-IGL"	0.178659731392281	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-4-Bright-IGL"	"CVID-9-Bright-IGL"	0.219057337106954	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-5-Bright-IGL"	"CVID-6-Bright-IGL"	0.450735865192868	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-5-Bright-IGL"	"CVID-7-Bright-IGL"	0.303575595160312	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-5-Bright-IGL"	"CVID-8-Bright-IGL"	0.271288698509054	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-5-Bright-IGL"	"CVID-9-Bright-IGL"	0.371531558047178	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-6-Bright-IGL"	"CVID-7-Bright-IGL"	0.355630125338628	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-6-Bright-IGL"	"CVID-8-Bright-IGL"	0.324985914618565	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-6-Bright-IGL"	"CVID-9-Bright-IGL"	0.338508888174128	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-7-Bright-IGL"	"CVID-8-Bright-IGL"	0.309294615337438	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-7-Bright-IGL"	"CVID-9-Bright-IGL"	0.36451207574645	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-8-Bright-IGL"	"CVID-9-Bright-IGL"	0.300771809235131	"CVID"	"Bright"	"IGL"	"CVID bright"
"CVID-2-Naive-IGK"	"CVID-4-Naive-IGK"	0.687581278208874	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-2-Naive-IGK"	"CVID-5-Naive-IGK"	0.76457478393963	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-2-Naive-IGK"	"CVID-6-Naive-IGK"	0.736133954959534	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-2-Naive-IGK"	"CVID-7-Naive-IGK"	0.53147939883607	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-2-Naive-IGK"	"CVID-8-Naive-IGK"	0.563061453517906	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-2-Naive-IGK"	"CVID-9-Naive-IGK"	0.757238284510728	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-4-Naive-IGK"	"CVID-5-Naive-IGK"	0.677132058001617	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-4-Naive-IGK"	"CVID-6-Naive-IGK"	0.641216751729679	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-4-Naive-IGK"	"CVID-7-Naive-IGK"	0.468604121628399	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-4-Naive-IGK"	"CVID-8-Naive-IGK"	0.572140754804193	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-4-Naive-IGK"	"CVID-9-Naive-IGK"	0.669641801330344	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-5-Naive-IGK"	"CVID-6-Naive-IGK"	0.781155402815621	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-5-Naive-IGK"	"CVID-7-Naive-IGK"	0.590025767342958	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-5-Naive-IGK"	"CVID-8-Naive-IGK"	0.602325873010293	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-5-Naive-IGK"	"CVID-9-Naive-IGK"	0.784324269534601	"CVID"	"Naive"	"IGK"	"CVID naive"
"CVID-6-Naive-IGK"	"CVID-7-Naive-IGK"	0.579536141453787	"CVID"	"Naive"	"IGK"	"CVID naive"
